Time,PmuID,PmuCoordinates,DataSize,GNB_Target,Path,HopSum,Status
0.6667,3,"(1700.5,1964.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0142s, 506.0m) -> TELCO (0.0340s, 707.1m) -> TSO (0.0749s, 1415.6m)",0.1230,OK
0.6667,4,"(700.5,1633.2)",2.00,GNB_5,"PMU -> GNB_5 (0.0067s, 240.8m) -> TELCO (0.0425s, 707.1m) -> TSO (0.0739s, 1415.6m)",0.1231,OK
0.6667,5,"(1033.7,372.4)",2.00,GNB_2,"PMU -> GNB_2 (0.0138s, 483.4m) -> TELCO (0.0365s, 707.1m) -> TSO (0.0753s, 1415.6m)",0.1256,OK
0.6667,6,"(1700.2,440.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0057s, 209.0m) -> TELCO (0.0361s, 707.1m) -> TSO (0.0790s, 1415.6m)",0.1208,OK
0.6667,7,"(700.4,636.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0020s, 242.7m) -> TELCO (0.0341s, 707.1m) -> TSO (0.0815s, 1415.6m)",0.1176,OK
0.6667,8,"(1700.3,1504.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0163s, 200.4m) -> TELCO (0.0385s, 707.1m) -> TSO (0.0728s, 1415.6m)",0.1276,OK
0.6667,9,"(33.6,1043.7)",2.00,GNB_3,"PMU -> GNB_3 (0.0092s, 468.4m) -> TELCO (0.0357s, 500.0m) -> TSO (0.0744s, 1415.6m)",0.1193,OK
0.6667,10,"(700.2,311.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0149s, 275.0m) -> TELCO (0.0411s, 707.1m) -> TSO (0.0720s, 1415.6m)",0.1279,OK
0.6667,11,"(367.0,1707.8)",2.00,GNB_5,"PMU -> GNB_5 (0.0120s, 246.7m) -> TELCO (0.0349s, 707.1m) -> TSO (0.0798s, 1415.6m)",0.1267,OK
0.6667,12,"(33.6,1775.4)",2.00,GNB_5,"PMU -> GNB_5 (0.0080s, 541.6m) -> TELCO (0.0432s, 707.1m) -> TSO (0.0852s, 1415.6m)",0.1364,OK
0.6667,13,"(1366.8,114.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0076s, 407.4m) -> TELCO (0.0352s, 707.1m) -> TSO (0.0728s, 1415.6m)",0.1157,OK
0.6667,14,"(33.4,182.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0141s, 564.2m) -> TELCO (0.0391s, 707.1m) -> TSO (0.0668s, 1415.6m)",0.1200,OK
0.6667,15,"(1366.9,1579.3)",2.00,GNB_6,"PMU -> GNB_6 (0.0044s, 155.0m) -> TELCO (0.0370s, 707.1m) -> TSO (0.0653s, 1415.6m)",0.1067,OK
0.6667,16,"(366.8,447.1)",2.00,GNB_1,"PMU -> GNB_1 (0.0097s, 143.3m) -> TELCO (0.0349s, 707.1m) -> TSO (0.0699s, 1415.6m)",0.1146,OK
0.6667,17,"(367.6,1416.0)",2.00,GNB_5,"PMU -> GNB_5 (0.0106s, 156.7m) -> TELCO (0.0368s, 707.1m) -> TSO (0.0640s, 1415.6m)",0.1114,OK
0.6667,18,"(1700.8,283.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0135s, 295.0m) -> TELCO (0.0395s, 707.1m) -> TSO (0.0666s, 1415.6m)",0.1196,OK
0.6667,19,"(1034.4,1680.2)",2.00,GNB_6,"PMU -> GNB_6 (0.0122s, 499.3m) -> TELCO (0.0362s, 707.1m) -> TSO (0.0816s, 1415.6m)",0.1301,OK
0.6667,0,"(1367.7,548.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0076s, 140.8m) -> TELCO (0.0389s, 707.1m) -> TSO (0.0861s, 1415.6m)",0.1326,OK
0.6667,1,"(1367.5,1687.1)",2.00,GNB_6,"PMU -> GNB_6 (0.0053s, 229.3m) -> TELCO (0.0363s, 707.1m) -> TSO (0.0853s, 1415.6m)",0.1269,OK
0.6667,2,"(34.2,555.1)",2.00,GNB_1,"PMU -> GNB_1 (0.0026s, 469.1m) -> TELCO (0.0326s, 707.1m) -> TSO (0.0758s, 1415.6m)",0.1109,OK
0.6667,3,"(1034.2,751.7)",2.00,GNB_4,"PMU -> GNB_4 (0.0077s, 527.8m) -> TELCO (0.0383s, 500.0m) -> TSO (0.0826s, 1415.6m)",0.1286,OK
0.6667,4,"(367.6,19.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0052s, 498.4m) -> TELCO (0.0363s, 707.1m) -> TSO (0.0820s, 1415.6m)",0.1234,OK
0.6667,5,"(1034.1,1158.6)",2.00,GNB_4,"PMU -> GNB_4 (0.0094s, 492.2m) -> TELCO (0.0340s, 500.0m) -> TSO (0.0802s, 1415.6m)",0.1236,OK
0.6667,6,"(700.7,1226.4)",2.00,GNB_3,"PMU -> GNB_3 (0.0103s, 302.6m) -> TELCO (0.0389s, 500.0m) -> TSO (0.0733s, 1415.6m)",0.1225,OK
0.6667,7,"(1700.7,1023.0)",2.00,GNB_4,"PMU -> GNB_4 (0.0088s, 202.0m) -> TELCO (0.0330s, 500.0m) -> TSO (0.0735s, 1415.6m)",0.1154,OK
0.6667,8,"(1034.1,1490.8)",2.00,GNB_6,"PMU -> GNB_6 (0.0146s, 466.0m) -> TELCO (0.0397s, 707.1m) -> TSO (0.0696s, 1415.6m)",0.1239,OK
