2025/06/04 16:35:43 - simulation time 0.0000 (s) : === PMU Smart Grid DYNAMIC Collection Simulation Started ===
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Collection Mode: DYNAMIC WINDOWS (starts with first data arrival)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Collection Window: 0.5 seconds from first PMU data
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Orchestrator: PmuTaskOrchestrator (Dynamic Data Collection)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Network Model: PmuNetworkModel (Data-based transfers)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Architecture: PMUs send measurement data → TSO waits for window → Grid analysis
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Edge Devices (PMUs): 30
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Edge Datacenters: 7
2025/06/04 16:35:43 - simulation time 0.0000 (s) : TSO Cloud: TSO
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 21 [22/30] | Location (  287.0,  868.0) || Data ID:    112 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0098s, 250.6m) -> TELCO (0.0280s, 500.0m) -> TSO (0.1055s, 1415.6m) | Hop_Sum: 0.1433s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU:  6 [ 7/30] | Location ( 1029.0,  577.0) || Data ID:     97 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0158s, 477.3m) -> TELCO (0.0293s, 707.1m) -> TSO (0.0992s, 1415.6m) | Hop_Sum: 0.1442s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU:  3 [ 4/30] | Location ( 1438.0, 1525.0) || Data ID:     94 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_6 (0.0082s, 66.9m) -> TELCO (0.0300s, 707.1m) -> TSO (0.1061s, 1415.6m) | Hop_Sum: 0.1443s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 20 [21/30] | Location (  216.0, 1898.0) || Data ID:    111 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0184s, 488.9m) -> TELCO (0.0323s, 707.1m) -> TSO (0.0938s, 1415.6m) | Hop_Sum: 0.1445s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 13 [14/30] | Location (  843.0, 1850.0) || Data ID:    104 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0161s, 490.0m) -> TELCO (0.0255s, 707.1m) -> TSO (0.1034s, 1415.6m) | Hop_Sum: 0.1450s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 19 [20/30] | Location (  222.0,  150.0) || Data ID:    110 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0216s, 447.0m) -> TELCO (0.0293s, 707.1m) -> TSO (0.0941s, 1415.6m) | Hop_Sum: 0.1450s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU:  7 [ 8/30] | Location ( 1685.0,  707.0) || Data ID:     98 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0194s, 277.6m) -> TELCO (0.0279s, 707.1m) -> TSO (0.0993s, 1415.6m) | Hop_Sum: 0.1466s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 16 [17/30] | Location (  769.0,  275.0) || Data ID:    107 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0163s, 350.7m) -> TELCO (0.0297s, 707.1m) -> TSO (0.1023s, 1415.6m) | Hop_Sum: 0.1483s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 11 [12/30] | Location (  593.0,  557.0) || Data ID:    102 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0125s, 109.1m) -> TELCO (0.0322s, 707.1m) -> TSO (0.1041s, 1415.6m) | Hop_Sum: 0.1488s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 27 [28/30] | Location ( 1820.0,  483.0) || Data ID:    118 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0172s, 320.5m) -> TELCO (0.0315s, 707.1m) -> TSO (0.1002s, 1415.6m) | Hop_Sum: 0.1489s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU:  0 [ 1/30] | Location (   25.0, 1383.0) || Data ID:     91 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0188s, 489.2m) -> TELCO (0.0299s, 707.1m) -> TSO (0.1021s, 1415.6m) | Hop_Sum: 0.1508s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 24 [25/30] | Location (  279.0,  917.0) || Data ID:    115 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0156s, 236.1m) -> TELCO (0.0254s, 500.0m) -> TSO (0.1104s, 1415.6m) | Hop_Sum: 0.1513s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU:  9 [10/30] | Location ( 1640.0,  884.0) || Data ID:    100 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_4 (0.0065s, 181.8m) -> TELCO (0.0269s, 500.0m) -> TSO (0.1192s, 1415.6m) | Hop_Sum: 0.1526s |
